Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
132031878648,Natuurmonumenten,Vereniging tot Behoud van Natuurmonumenten in Nederland,52186,315
245579158353,Giro555,Giro555,48314,50
128393027527,SP,SP,40971,213
428670174395114,Vattenfall,Vattenfall Nederland,40486,62
175740570505,GroenLinks,GroenLinks,34443,65
288295911466,Greenpeace Nederland,Greenpeace Nederland,32100,64
189701254384965,Eneco,Eneco,26479,30
447218628670592,UNHCR Nederland,UNHCR Nederland,25475,28
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),24995,72
57729029960,Amnesty International Nederland,Amnesty International Nederland,21498,158
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,21158,9
338750440106782,BBB BoerBurgerBeweging,Boerburgerbeweging,19101,55
134745106544502,Vogelbescherming Nederland,Vogelbescherming Nederland,18186,96
280080392065179,Waterschap De Dommel,Waterschap De Dommel,18026,29
146644665960101,Volt Nederland,Volt Nederland,17099,499
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie,16024,11
142602429748465,Waterschappen,Unie van Waterschappen,14276,78
488054904564547,ifaw,Stichting IFAW,12736,74
121719834601889,FNV Vakbond,FNV Vakbond,12044,33
189390074967767,Toegift,Toegift/Stichting Diensten voor Goede doelen,11991,12
1607001549529193,"Waterschap Amstel, Gooi en Vecht","Waterschap Amstel, Gooi en Vecht",9928,45
93833638834,Plan International NL,Plan International Nederland,9213,150
83439828234,Milieudefensie,Milieudefensie,9171,311
463828040351089,Waterschap Brabantse Delta,Waterschap Brabantse Delta,8998,21
165625476919894,CNV Vakmensen,CNV Vakmensen,8926,77
126052760507,Mama Cash,Mama Cash,8910,12
115289021825188,Oxfam Novib,Oxfam Novib,8850,43
156571571036057,Natuur & Milieu,Natuur & Milieu,8714,8
406548067183,Provincie Noord-Brabant,Provincie Noord-Brabant,8705,24
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,8127,95
514814491878400,NVVE,NVVE,8056,61
201751609836046,Dokters van de Wereld (NL),Dokters van de Wereld (NL),7971,33
160464877301633,Waddenvereniging,Waddenvereniging,7796,50
120034538112114,Stichting Vluchteling,Stichting Vluchteling,7051,5
159449970751999,Save the Children Nederland,Save the Children Nederland,6809,78
444504516075907,Shell,Shell,6751,4
102287806490622,Partij voor de Dieren,Partij voor de Dieren,6699,134
1637965639787416,Nacht van de Vluchteling,Nacht van de Vluchteling,6576,20
121264564551002,VVD,VVD,6297,100
652006578218691,CDA Noord-Holland,CDA Noord Holland,5478,78
226310417539522,PvdA Noord Holland,PvdA,5398,37
106370071810105,Cultuur onder Vuur NL,Stichting Civitas Christiana,5298,16
320374518118,CDA,CDA,5281,15
197259153703330,Waterschap Rijn en IJssel,Waterschap Rijn en IJssel,5066,26
202064936858448,Geert Wilders,Geert Wilders,4618,16
100364422327666,BVNL,BVNL,4536,38
439703479409823,ABP Pensioenfonds voor overheid en onderwijs,ABP,4406,1
101299222797437,Deprovinciekiest,Interprovinciaal Overleg,4320,8
106020448037192,JA21,JA21.nl,4150,261
349312760804,World Vision Nederland,World Vision NL,4028,35
133687759997528,ASN Bank,ASN Bank,3985,24
142080576837,Vrij Nederland,Vrij Nederland,3984,40
100660309175869,NieuwRechts,NieuwRechts.nl,3964,35
844559615710915,Lilian Marijnissen,SP,3780,32
353474172552,War Child Holland,War Child Holland,3582,15
201797779950690,Waterschap Vechtstromen,Waterschap Vechtstromen,3437,7
158944324185744,Defence for Children,Defence for Children,3370,20
115027651906533,Wakker Dier,Wakker Dier,3336,71
165914046762784,PvdA Limburg,PvdA Limburg,3312,80
164448196903465,Simavi,Simavi,3116,64
526682507436451,PvdA Zuid-Holland,PvdA,3088,2
133720236695807,Werken voor Nederland,Werken voor Nederland,3045,13
1550088745275913,DENK,DENK,3041,379
107411260903386,Emyze. All in for less.,These ads ran without a disclaimer,2977,7
333726830018322,VVD Limburg,VVD Limburg,2848,34
1534982756793690,Foodvisor,These ads ran without a disclaimer,2839,9
261743583890104,Mensen met een Missie,Mensen met een Missie,2834,35
105339817717917,Gezin in Gevaar,Stichting Civitas Christiana,2827,14
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,2658,50
751427151608409,Water Natuurlijk Limburg,Water Natuurlijk Limburg,2620,89
393631714068016,Hoogheemraadschap van Schieland en de Krimpenerwaard,Hoogheemraadschap van Schieland en de Krimpenerwaard,2606,40
473492249475971,Stirezo Pro-life,Stichting Civitas Christiana,2535,14
198652680155932,Waterschap Rivierenland,Waterschap Rivierenland,2531,42
270279943093158,Hoogheemraadschap Hollands Noorderkwartier - HHNK,Hoogheemraadschap Hollands Noorderkwartier - HHNK,2527,32
421920954609274,VVD Flevoland,VVD Flevoland,2498,20
198486356863605,Longfonds,Longfonds,2449,55
1559225897625340,CDA Provincie Utrecht,CDA Utrecht,2388,18
121950544509915,Waterschap Aa en Maas,Waterschap Aa en Maas,2373,10
123604241074923,PvdA Brabant,PvdA Brabant,2320,32
105516159523693,Wilde Ganzen,Wilde Ganzen,2237,12
148429941847666,CDA Limburg,CDA Limburg,2212,18
133724653386228,CDA Gelderland,CDA Gelderland,2199,68
148404651881567,VNO-NCW,VNO-NCW,2087,99
103804832326992,Peter R. de Vries Foundation,Stichting Peter R. de Vries Foundation,2008,24
120184871378246,Aidsfonds,Aidsfonds,1973,6
208649455871752,Hoogheemraadschap van Rijnland,Hoogheemraadschap van Rijnland,1945,53
542364179119408,FNP Fryslân,FNP Fryslân,1858,17
118582591622050,Provincie Limburg,Provincie Limburg,1731,5
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,1726,2
1409007399336866,BNNVARA,BNNVARA,1726,42
141801972540083,EW Magazine,EW Magazine,1686,38
103838582646296,Henriette van Hedel - Alliantie,Johanna Henriette Geertruda Elisabeth Van Hedel,1646,14
624058687606718,D66 Noord-Holland,D66,1623,14
222029491143966,Free Press Unlimited,Free Press Unlimited,1610,9
404247949634770,CARE Nederland,CARE Nederland,1608,41
403943403087425,ChristenUnie Flevoland,ChristenUnie Flevoland,1500,46
121867394634298,CDA Fryslân,CDA Fryslân,1489,101
347623668624706,50PLUSpartij,VLG,1479,11
104314055924926,Het eerlijke verhaal,OTTO Work Force,1474,16
52985377549,D66,D66,1376,92
143686555666670,Trees for All,Trees for All,1356,5
178362315106,European Parliament,European Parliament,1305,75
377484722432934,PvdA Provincie Utrecht,PvdA Provincie Utrecht,1294,12
876532312366812,Drents parlement,Drents parlement,1291,16
100993049941618,Gemeente Den Haag,Gemeente Den Haag,1251,7
111190905649544,SIRE,SIRE,1215,34
225160178094449,Corekees,Corekees,1209,9
412660072214613,Waterschap Limburg,Waterschap Limburg,1187,93
143913725639896,WOMEN Inc.,Women Inc,1113,22
102523116490167,NJR,NJR,1104,12
101701619359166,GOUD Nederland,Fractie den Haan = Goud,1103,8
1237207133024393,Provincie Utrecht,Provincie Utrecht,1098,14
