"id","advertiser_id","advertiser_name","disclaimer","spend","ad_library_size","date_produced","country_code","currency_units","create_date","update_date"
"1ec38a07-0594-4863-9026-3dfb9e0dae7f","128393027527","SP","SP",352,42,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"7fb19fe7-be57-475a-8c1b-4a6e4afadb08","175740570505","GroenLinks","GroenLinks",333,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"2029d1c2-a12b-406b-9a4d-77c8aade8d5e","105784111524296","Sumofus - NL","SumOfUs",279,4,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"df72f22e-b2fd-4197-b0bc-7f8bae1e3368","338750440106782","BBB BoerBurgerBeweging","Boerburgerbeweging",256,3,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"97b36e80-aa08-45e5-9e11-286d8e593881","108588405832078","Amref Flying Doctors NL","Amref Flying Doctors NL",228,36,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"f62eca14-9eee-42e6-acc2-7fb16d373576","113072077160368","Consuwise","consuwise.nl",220,14,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"ce724410-1226-490d-8892-2d47b479710f","156571571036057","Natuur & Milieu","Natuur & Milieu",215,8,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"343141cf-a0db-41cc-8843-10e46832fea1","201751609836046","Dokters van de Wereld (NL)","Dokters van de Wereld (NL)",214,17,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"7bb6aaa6-35d5-4623-be24-73c2887cd166","120184871378246","Aidsfonds","Aidsfonds",214,5,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"38c74c83-f7d5-490e-a936-d11a2ce97574","105339817717917","Gezin in Gevaar","Stichting Civitas Christiana",199,6,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"477c5e92-bfcd-41bb-849c-b4798d34875c","107411260903386","Emyze. All in for less.","These ads ran without a disclaimer",182,6,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"119f5fef-534f-4430-ab3b-ccfb538635f5","1637965639787416","Nacht van de Vluchteling","Nacht van de Vluchteling",172,10,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"9e0be945-28ed-47ae-9480-7d0abdbc39c8","105516159523693","Wilde Ganzen","Wilde Ganzen",163,12,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"ba20c89c-c162-4c36-af26-3326fda3d2ba","103804832326992","Peter R. de Vries Foundation","Stichting Peter R. de Vries Foundation",161,24,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"5edd73b8-7411-49df-aa1e-b761b0a4de25","349312760804","World Vision Nederland","World Vision NL",159,31,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"85386bb5-2129-4760-b1e0-821a9ea9c8d5","106370071810105","Cultuur onder Vuur NL","Stichting Civitas Christiana",152,6,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"eeaad51b-a639-44e7-a9b5-4292c1b17e7b","439703479409823","ABP Pensioenfonds voor overheid en onderwijs","ABP",151,1,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"1d7dddf7-47bc-4fc7-8c2e-aa1a0febe5c4","197259153703330","Waterschap Rijn en IJssel","Waterschap Rijn en IJssel",141,15,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"d9ab7188-1858-4334-a74c-6bb4b0c4d95b","133687759997528","ASN Bank","ASN Bank",140,12,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"9c40d56e-287a-420f-a7d5-454fdfef7434","100660309175869","NieuwRechts","NieuwRechts.nl",135,17,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"d36b895f-4b54-4518-8d62-2108e2ef48c8","142080576837","Vrij Nederland","Vrij Nederland",132,7,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"6ab919f4-6b56-400f-8095-81c9d5b064e3","285512534937","Terre des Hommes Nederland","Terre des Hommes Nederland",131,17,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"aefee416-98ae-4bdd-90d4-9df65647593a","1534982756793690","Foodvisor","These ads ran without a disclaimer",125,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"25177786-3ba5-4ffa-9316-b8b754e5915d","158944324185744","Defence for Children","Defence for Children",117,20,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"29183f0d-911b-4d38-a74c-a6d55e52583d","288700097949818","Mijn Stem","Citisens",111,2,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"b550ebf3-5772-4210-8663-aaf3dc83c4ee","114824741963035","Kom over en help","St. Kom over en help",109,10,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
"7212a6c6-8e3a-4d73-8784-de5c55d282e5","121264564551002","VVD","VVD",107,3,"2023-02-05","NL","EUR","2023-02-09","2023-02-09"
