page_name,page_id,party,source,disclaimer,amount_spent_eur,number_of_ads_in_library,party1,party2
PvdA Amersfoort,144728552295443,PvdA,NA,NA,NA,NA,NA,NA
VVD Leiden,145751698819583,VVD,NA,NA,NA,NA,NA,NA
Volt Nederland,146644665960101,Volt Nederland,NA,NA,NA,NA,NA,NA
Jos van Ginneken,146649939174312,CDA,NA,NA,NA,NA,NA,NA
D66 Zeeland,146790238829202,D66,NA,NA,NA,NA,NA,NA
SGP Urk,1475272182780530,SGP,NA,NA,NA,NA,NA,NA
D66 Leiden,147722648491,D66,NA,NA,NA,NA,NA,NA
Gert-Jan Segers,147772805659767,ChristenUnie,NA,NA,NA,NA,NA,NA
VVD Heemskerk,148005128902583,VVD,NA,NA,NA,NA,NA,NA
Ingrid van Wifferen,148530589219712,D66,NA,NA,NA,NA,NA,NA
Lelystad SGP,1502902726692280,SGP,NA,NA,NA,NA,NA,NA
Partij van de Arbeid PvdA Midden-Groningen,1510532972292650,PvdA,NA,NA,NA,NA,NA,NA
CDA Heemskerk,1512067898874080,CDA,NA,NA,NA,NA,NA,NA
CDA Sint-Michielsgestel,151541561675000,CDA,NA,NA,NA,NA,NA,NA
SGP Goeree-Overflakkee,151766691678928,SGP,NA,NA,NA,NA,NA,NA
FVD Amsterdam,1519997944789250,FvD,NA,NA,NA,NA,NA,NA
De Amsterdamse VVD,152313778157632,VVD,NA,NA,NA,NA,NA,NA
CDA Zuid-Holland,1523833891223460,CDA,NA,NA,NA,NA,NA,NA
Wetenschappelijk Instituut ChristenUnie,152432188110990,ChristenUnie,NA,NA,NA,NA,NA,NA
GroenLinks Berg en Dal,153189941370381,GroenLinks,NA,NA,NA,NA,NA,NA
Jonge Democraten,153357044722038,D66,NA,NA,NA,NA,NA,NA
D66 Overijssel,153430294762818,D66,NA,NA,NA,NA,NA,NA
Partij voor de Dieren Noord-Brabant,153434794680208,PvdD,NA,NA,NA,NA,NA,NA
VVD Altena,1543542572602850,VVD,NA,NA,NA,NA,NA,NA
De Rotterdamse VVD,154456451319810,VVD,NA,NA,NA,NA,NA,NA
