Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,8319,9
175740570505,GroenLinks,GroenLinks,4696,113
132031878648,Natuurmonumenten,Vereniging tot Behoud van Natuurmonumenten in Nederland,3964,157
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),3126,19
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie,2435,13
128393027527,SP,SP,2039,68
100364422327666,BVNL,BVNL,1745,32
142602429748465,Waterschappen,Unie van Waterschappen,1638,43
652006578218691,CDA Noord-Holland,CDA Noord Holland,1631,76
102287806490622,Partij voor de Dieren,Partij voor de Dieren,1626,87
444504516075907,Shell,Shell,1530,4
146644665960101,Volt Nederland,Volt Nederland,1521,240
1607001549529193,"Waterschap Amstel, Gooi en Vecht","Waterschap Amstel, Gooi en Vecht",1381,12
338750440106782,BBB BoerBurgerBeweging,Boerburgerbeweging,1270,31
406548067183,Provincie Noord-Brabant,Provincie Noord-Brabant,1239,14
428670174395114,Vattenfall,Vattenfall Nederland,1150,19
208649455871752,Hoogheemraadschap van Rijnland,Hoogheemraadschap van Rijnland,1063,54
148429941847666,CDA Limburg,CDA Limburg,1037,18
1559225897625340,CDA Provincie Utrecht,CDA Utrecht,1028,18
773700796038689,CDA Provincie Groningen,CDA Provincie Groningen,990,5
121867394634298,CDA Fryslân,CDA Fryslân,985,66
288295911466,Greenpeace Nederland,Greenpeace Nederland,938,27
121264564551002,VVD,VVD,919,167
333726830018322,VVD Limburg,VVD Limburg,878,39
133724653386228,CDA Gelderland,CDA Gelderland,864,43
164448196903465,Simavi,Simavi,828,24
189701254384965,Eneco,Eneco,809,13
198652680155932,Waterschap Rivierenland,Waterschap Rivierenland,763,36
270279943093158,Hoogheemraadschap Hollands Noorderkwartier - HHNK,Hoogheemraadschap Hollands Noorderkwartier - HHNK,761,24
143913725639896,WOMEN Inc.,Women Inc,753,21
206932742776182,CDA Overijssel,CDA Overijssel,694,15
280080392065179,Waterschap De Dommel,Waterschap De Dommel,691,7
57729029960,Amnesty International Nederland,Amnesty International Nederland,638,83
393631714068016,Hoogheemraadschap van Schieland en de Krimpenerwaard,Hoogheemraadschap van Schieland en de Krimpenerwaard,549,53
201797779950690,Waterschap Vechtstromen,Waterschap Vechtstromen,492,2
203753056314055,Varkens in Nood,Varkens in Nood,491,5
105326315333967,Volt Noord-Holland,Volt Noord-Holland,477,60
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,444,39
463828040351089,Waterschap Brabantse Delta,Waterschap Brabantse Delta,441,3
488054904564547,ifaw,Stichting IFAW,378,52
121719834601889,FNV Vakbond,FNV Vakbond,368,20
134745106544502,Vogelbescherming Nederland,Vogelbescherming Nederland,361,16
118582591622050,Provincie Limburg,Provincie Limburg,352,4
83439828234,Milieudefensie,Milieudefensie,347,77
123604241074923,PvdA Brabant,PvdA Brabant,337,15
300057413403421,PvdA Gelderland,PvdA Gelderland,319,25
527509587433951,AWP Nederland,Algemene Waterschapspartij AWP,307,33
550151728397109,CDA Drenthe,CDA Drenthe,295,4
337153586326848,Gemeente Arnhem,Gemeente Arnhem,292,11
100598156282247,Volt Brabant,Volt Brabant,287,35
624058687606718,D66 Noord-Holland,D66,282,8
876532312366812,Drents parlement,Drents parlement,280,5
1237207133024393,Provincie Utrecht,Provincie Utrecht,275,16
270085373012452,CDA Flevoland,CDA Flevoland,273,17
121950544509915,Waterschap Aa en Maas,Waterschap Aa en Maas,262,6
526682507436451,PvdA Zuid-Holland,PvdA,257,4
347623668624706,50PLUSpartij,VLG,251,3
1550088745275913,DENK,DENK,245,217
165625476919894,CNV Vakmensen,CNV Vakmensen,242,50
644928592236017,VVD Brabant,VVD Brabant,238,20
115289021825188,Oxfam Novib,Oxfam Novib,227,8
353474172552,War Child Holland,War Child Holland,225,15
542364179119408,FNP Fryslân,FNP Fryslân,220,10
844559615710915,Lilian Marijnissen,SP,218,6
