Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,6492,14
175740570505,GroenLinks,GroenLinks,4578,111
132031878648,Natuurmonumenten,Vereniging tot Behoud van Natuurmonumenten in Nederland,3945,140
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie,2798,11
142602429748465,Waterschappen,Unie van Waterschappen,2028,40
128393027527,SP,SP,1989,70
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),1851,18
100364422327666,BVNL,BVNL,1708,32
406548067183,Provincie Noord-Brabant,Provincie Noord-Brabant,1650,15
102287806490622,Partij voor de Dieren,Partij voor de Dieren,1599,86
652006578218691,CDA Noord-Holland,CDA Noord Holland,1593,75
208649455871752,Hoogheemraadschap van Rijnland,Hoogheemraadschap van Rijnland,1565,44
1607001549529193,"Waterschap Amstel, Gooi en Vecht","Waterschap Amstel, Gooi en Vecht",1538,22
444504516075907,Shell,Shell,1519,4
146644665960101,Volt Nederland,Volt Nederland,1505,229
338750440106782,BBB BoerBurgerBeweging,Boerburgerbeweging,1288,29
270279943093158,Hoogheemraadschap Hollands Noorderkwartier - HHNK,Hoogheemraadschap Hollands Noorderkwartier - HHNK,1234,29
773700796038689,CDA Provincie Groningen,CDA Provincie Groningen,1189,6
121867394634298,CDA Fryslân,CDA Fryslân,1105,65
428670174395114,Vattenfall,Vattenfall Nederland,1105,18
198652680155932,Waterschap Rivierenland,Waterschap Rivierenland,1082,37
393631714068016,Hoogheemraadschap van Schieland en de Krimpenerwaard,Hoogheemraadschap van Schieland en de Krimpenerwaard,1081,34
148429941847666,CDA Limburg,CDA Limburg,1013,18
1559225897625340,CDA Provincie Utrecht,CDA Utrecht,1008,18
106020448037192,JA21,JA21.nl,957,96
333726830018322,VVD Limburg,VVD Limburg,951,42
1523833891223465,CDA Zuid-Holland,CDA Zuid-Holland,949,38
288295911466,Greenpeace Nederland,Greenpeace Nederland,939,32
121264564551002,VVD,VVD,915,185
133724653386228,CDA Gelderland,CDA Gelderland,846,43
164448196903465,Simavi,Simavi,835,24
134745106544502,Vogelbescherming Nederland,Vogelbescherming Nederland,807,20
189701254384965,Eneco,Eneco,791,13
206932742776182,CDA Overijssel,CDA Overijssel,675,15
280080392065179,Waterschap De Dommel,Waterschap De Dommel,663,7
57729029960,Amnesty International Nederland,Amnesty International Nederland,621,136
201797779950690,Waterschap Vechtstromen,Waterschap Vechtstromen,483,2
105326315333967,Volt Noord-Holland,Volt Noord-Holland,475,58
203753056314055,Varkens in Nood,Varkens in Nood,462,11
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,449,40
550151728397109,CDA Drenthe,CDA Drenthe,436,4
226310417539522,PvdA Noord Holland,PvdA,434,34
463828040351089,Waterschap Brabantse Delta,Waterschap Brabantse Delta,429,3
123604241074923,PvdA Brabant,PvdA Brabant,414,17
143913725639896,WOMEN Inc.,Women Inc,403,6
121719834601889,FNV Vakbond,FNV Vakbond,400,27
300057413403421,PvdA Gelderland,PvdA Gelderland,366,48
347623668624706,50PLUSpartij,VLG,352,3
488054904564547,ifaw,Stichting IFAW,344,53
337153586326848,Gemeente Arnhem,Gemeente Arnhem,323,6
83439828234,Milieudefensie,Milieudefensie,314,72
121950544509915,Waterschap Aa en Maas,Waterschap Aa en Maas,294,8
527509587433951,AWP Nederland,Algemene Waterschapspartij AWP,291,31
100598156282247,Volt Brabant,Volt Brabant,288,37
876532312366812,Drents parlement,Drents parlement,282,6
